Date/Time,"Steam flow 
(t/h)","Export power.
(MW)","Post combustion 
temp. C","Flue gas temp inlet 
bag filter temp. C","IDF Running 
(PV Control.) %","RGF Running 
(PV Control.) %",Sootblow,"PAF Running 
(PV Control.) %",Problem
8/12/2025 1:00 ¹.,42,7.618,988.4,159.3,87.6,94.7,0,51.3,0
8/12/2025 2:00 ¹.,41,7.272,954,159.1,87.8,93.6,0,51.8,0
8/12/2025 3:00 ¹.,42,7.521,981.8,160,87.6,90.6,0,52.1,0
8/12/2025 4:00 ¹.,39,6.932,937.7,159.7,85.1,90.6,0,51.5,0
8/12/2025 5:00 ¹.,37,6.407,919,160.9,88.3,92.3,0,52.7,0
8/12/2025 6:00 ¹.,40,7.188,974.1,164.3,93.4,95.8,0,53.3,0
8/12/2025 7:00 ¹.,42,7.599,979.5,160.3,90.3,95.6,0,51.9,0
8/12/2025 8:00 ¹.,42,7.534,956.4,160.8,89.9,95.6,0,51.7,0
8/12/2025 9:00 ¹.,44,8.075,1005.2,161,89.1,95.5,0,51.3,0
8/12/2025 10:00 ¹.,38,6.674,899.2,160.2,87.6,95.6,0,52.3,0
8/12/2025 11:00 ¹.,40,7.136,930.4,162.1,86.8,95.6,0,51.6,0
8/12/2025 12:00 ¹.,41,7.241,942.6,162,86.3,95.6,0,51.7,0
8/12/2025 13:00 ¹.,44,7.732,977.8,163.1,87.4,95.6,0,51.2,0
8/12/2025 14:00 ¹.,42,7.664,1007.7,165.8,91.9,95.5,0,51.3,0
8/12/2025 15:00 ¹.,40,6.957,964.7,163.7,89.9,95.5,0,51.5,0
8/12/2025 16:00 ¹.,41,7.206,954.6,159.7,87.5,95.6,0,52.7,0
8/12/2025 17:00 ¹.,42,7.532,956.7,160.8,86.3,95.6,0,53,0
8/12/2025 18:00 ¹.,37,6.389,895.9,161.2,86.2,94.1,0,52.2,0
8/12/2025 19:00 ¹.,42,7.536,961.2,162.2,86,95.7,0,53.6,0
8/12/2025 20:00 ¹.,41,7.423,972.5,162.7,89.9,95.5,0,55.2,0
8/12/2025 21:00 ¹.,41,7.54,989.9,165.4,93.6,95.3,0,55.2,0
8/12/2025 22:00 ¹.,39,6.873,937.7,160.9,90,95.6,0,53,0
8/12/2025 23:00 ¹.,42,7.495,969.2,158.6,87.6,95.6,0,52.3,0
